epoch,accuracy,loss,val_accuracy,val_loss
0,0.8530619144439697,0.34076833724975586,0.005147666670382023,2.9024834632873535
1,0.8693413734436035,0.3035336136817932,0.006237318739295006,2.8198533058166504
2,0.8757292032241821,0.28934943675994873,0.005222815088927746,3.357884168624878
3,0.8832724094390869,0.27391287684440613,0.030510257929563522,2.9254653453826904
4,0.8905338644981384,0.25916528701782227,0.009168107062578201,3.312894821166992
5,0.896574079990387,0.24414874613285065,0.032614413648843765,3.2306082248687744
6,0.9048030376434326,0.22679032385349274,0.0262643713504076,3.5518832206726074
7,0.9106366038322449,0.2130909562110901,0.054708048701286316,3.2979233264923096
8,0.9180389642715454,0.19712533056735992,0.06376343220472336,3.5793416500091553
9,0.9242294430732727,0.18104133009910583,0.05647403746843338,3.8112614154815674
10,0.9297248721122742,0.1695997565984726,0.06425189971923828,4.113687992095947
11,0.9363099336624146,0.1556445211172104,0.07383332401514053,4.3178300857543945
12,0.9415704607963562,0.1430889368057251,0.0675208568572998,4.6718339920043945
13,0.9453749656677246,0.13520632684230804,0.08675885200500488,4.514875411987305
14,0.9495458006858826,0.12678135931491852,0.06489066034555435,5.398097038269043
15,0.9527679085731506,0.11892076581716537,0.07916885614395142,5.448019504547119
16,0.9566851258277893,0.109897181391716,0.06714510917663574,5.963718414306641
17,0.9590335488319397,0.10566550493240356,0.0984068512916565,5.77595853805542
18,0.9601796269416809,0.10218273848295212,0.0608702190220356,6.664540767669678
19,0.9630447030067444,0.09447626024484634,0.07729014754295349,6.33569860458374
20,0.9644256234169006,0.0922122672200203,0.05778913199901581,6.95902156829834
21,0.9662950038909912,0.08686014264822006,0.08833696693181992,6.512629508972168
22,0.9676383137702942,0.08444733917713165,0.08183662593364716,6.994183540344238
23,0.9690755605697632,0.08107143640518188,0.07488539814949036,6.93035364151001
24,0.9705691933631897,0.0784079059958458,0.07154129445552826,7.39580774307251
25,0.9716494679450989,0.07544239610433578,0.07522356510162354,7.561700344085693
26,0.9722225069999695,0.07463214546442032,0.0744720846414566,7.7042107582092285
27,0.9748433828353882,0.06881965696811676,0.07090253382921219,8.249403953552246
28,0.9743173122406006,0.06829039007425308,0.058878786861896515,8.506681442260742
29,0.9757545590400696,0.06660138070583344,0.0666942223906517,8.501599311828613
30,0.9756793975830078,0.0663524866104126,0.0661306083202362,8.24114990234375
31,0.9767690896987915,0.06271179765462875,0.07488539814949036,8.245945930480957
