epoch,accuracy,loss,val_accuracy,val_loss
0,0.7807983160018921,0.45190539956092834,0.06227201595902443,1.5343647003173828
1,0.8042774796485901,0.40968596935272217,0.11679259687662125,1.4608891010284424
2,0.8246589303016663,0.37261050939559937,0.12558624148368835,1.645870327949524
3,0.848224937915802,0.32663875818252563,0.276055246591568,1.3496885299682617
4,0.8774653673171997,0.27260667085647583,0.21586763858795166,1.8027969598770142
5,0.9059095978736877,0.21624743938446045,0.2803543508052826,2.049924612045288
6,0.9315600991249084,0.1634463518857956,0.2791167199611664,2.5398073196411133
7,0.9516519904136658,0.1210106685757637,0.32862168550491333,2.7416796684265137
8,0.9661998152732849,0.08732546120882034,0.3535044193267822,3.1128077507019043
9,0.9765280485153198,0.06536930054426193,0.3249739408493042,3.9457154273986816
10,0.9808562397956848,0.05272625759243965,0.3529833257198334,3.8986704349517822
11,0.9834690690040588,0.046758633106946945,0.3366336524486542,4.458364963531494
12,0.9865378141403198,0.038526248186826706,0.36907243728637695,4.447999477386475
13,0.9874570369720459,0.036140765994787216,0.3477071523666382,4.830521583557129
