epoch,accuracy,loss,val_accuracy,val_loss
0,0.8502113223075867,0.28878822922706604,0.06347706913948059,8.965282440185547
1,0.8667730689048767,0.25584253668785095,0.09337545931339264,9.642623901367188
2,0.8753226399421692,0.24293234944343567,0.06875325739383698,11.088732719421387
3,0.8839780688285828,0.23063194751739502,0.09265893697738647,11.786023139953613
4,0.8915098309516907,0.2168966680765152,0.07650469243526459,13.365336418151855
5,0.9005072712898254,0.2032361626625061,0.08054324984550476,14.420543670654297
6,0.9079983234405518,0.18967776000499725,0.07972902804613113,17.284400939941406
7,0.9165886640548706,0.17523923516273499,0.08135747909545898,25.351526260375977
8,0.9234609007835388,0.16392815113067627,0.08233454823493958,26.469738006591797
9,0.9299178719520569,0.1511523574590683,0.08350703120231628,32.44834899902344
10,0.9355117082595825,0.14251139760017395,0.09096534550189972,31.531280517578125
11,0.9413009881973267,0.13148291409015656,0.08226940780878067,33.39173889160156
12,0.945502519607544,0.12368935346603394,0.08008728176355362,40.99513626098633
13,0.9491584897041321,0.1174728274345398,0.0831487774848938,44.70769500732422
14,0.953962504863739,0.1085815504193306,0.07871938496828079,51.65860366821289
15,0.955973744392395,0.10476953536272049,0.08279051631689072,48.13100814819336
16,0.9596052765846252,0.0961141437292099,0.08282308280467987,56.218849182128906
17,0.9620968699455261,0.09255631268024445,0.08262766897678375,60.647457122802734
18,0.964327871799469,0.08953973650932312,0.0793382003903389,58.39456558227539
19,0.9652805328369141,0.0852879211306572,0.08217170089483261,67.28860473632812
20,0.9668357372283936,0.08120604604482651,0.08106435835361481,66.56730651855469
21,0.9689283967018127,0.07769757509231567,0.07627670466899872,73.3562240600586
22,0.970475435256958,0.07543662190437317,0.08406070619821548,74.14501190185547
23,0.9723644852638245,0.07223592698574066,0.07998957484960556,65.8529281616211
24,0.9732683300971985,0.06869937479496002,0.07780744880437851,74.50331115722656
25,0.9739522933959961,0.0686240866780281,0.07937076687812805,82.873779296875
26,0.9749456644058228,0.06507830321788788,0.08116206526756287,89.57481384277344
27,0.9758576154708862,0.06244256719946861,0.08086894452571869,92.71060943603516
28,0.9774290919303894,0.06028537079691887,0.08213913440704346,93.54376220703125
29,0.9782189130783081,0.05839427188038826,0.07904507219791412,97.4781723022461
30,0.9775186777114868,0.059075646102428436,0.08086894452571869,96.08558654785156
