21811.8157	0.6917	0.7214	0.6696	0.6191	0.7635	0.6899	0.6917	0.7645
21173.093	0.708	0.7682	0.6707	0.591	0.8236	0.7037	0.708	0.7851
20801.0399	0.713	0.7587	0.6818	0.62	0.805	0.7103	0.713	0.7902
20732.37	0.7165	0.7355	0.7007	0.6712	0.7613	0.7158	0.7165	0.7958
20514.4173	0.7224	0.7698	0.6899	0.6301	0.8137	0.7199	0.7224	0.8008
20468.3951	0.7225	0.7376	0.7096	0.6859	0.7587	0.7221	0.7225	0.8018
20423.6543	0.7203	0.7302	0.7114	0.6936	0.7466	0.72	0.7203	0.8047
20573.8493	0.7236	0.7286	0.719	0.7078	0.7392	0.7235	0.7236	0.8081
20751.8477	0.7309	0.7554	0.7111	0.6784	0.7828	0.7301	0.7309	0.8118
20241.6387	0.7321	0.7516	0.7158	0.6888	0.7749	0.7315	0.7321	0.8139
20775.3282	0.7293	0.7282	0.7303	0.7267	0.7318	0.7292	0.7293	0.8158
22084.8967	0.7215	0.6973	0.7517	0.7774	0.6663	0.7208	0.7215	0.8152
22990.9111	0.7181	0.691	0.7531	0.7834	0.6536	0.7171	0.7181	0.8159
23964.6423	0.7167	0.6902	0.7508	0.7806	0.6535	0.7157	0.7167	0.8127
24358.5196	0.7153	0.6826	0.7609	0.7989	0.6326	0.7135	0.7153	0.8181
26925.6355	0.705	0.6642	0.7705	0.8226	0.5888	0.7012	0.705	0.816
28971.6162	0.7011	0.6569	0.7771	0.835	0.5687	0.696	0.7011	0.8163
28661.7587	0.7139	0.6792	0.7638	0.8049	0.624	0.7118	0.7139	0.8168
34167.5246	0.6994	0.6516	0.7874	0.8495	0.5509	0.6929	0.6994	0.8173
34269.8353	0.703	0.6594	0.7767	0.833	0.5745	0.6983	0.703	0.8173
44061.1929	0.6696	0.6156	0.8096	0.8934	0.4484	0.653	0.6696	0.8136
38139.6233	0.7019	0.6547	0.7871	0.8473	0.558	0.6958	0.7019	0.8171
45588.2445	0.6852	0.6327	0.8007	0.8747	0.4978	0.6741	0.6852	0.815
47020.2144	0.6861	0.6334	0.8018	0.8752	0.499	0.675	0.6861	0.8172
50395.9978	0.6847	0.6317	0.8033	0.8777	0.4939	0.6732	0.6847	0.8161
54277.2368	0.6797	0.6263	0.8048	0.8825	0.4792	0.6667	0.6797	0.8152
59025.9039	0.6784	0.6251	0.804	0.8826	0.4765	0.6651	0.6784	0.8152
59420.0407	0.6812	0.6279	0.8039	0.8806	0.484	0.6687	0.6812	0.8164
62042.6506	0.6805	0.6273	0.8033	0.8805	0.4828	0.6679	0.6805	0.8151
84994.0231	0.6696	0.6153	0.8114	0.895	0.4466	0.6527	0.6696	0.8132
65230.0994	0.6806	0.6271	0.8053	0.8823	0.4812	0.6678	0.6806	0.8176
84804.5345	0.6663	0.6119	0.8139	0.8992	0.436	0.648	0.6663	0.8149
97699.447	0.6575	0.6027	0.8251	0.9132	0.4047	0.6346	0.6575	0.814
106016.6267	0.6581	0.6034	0.8227	0.9111	0.4079	0.6357	0.6581	0.8124
117879.0724	0.653	0.5992	0.8212	0.9128	0.3961	0.6289	0.653	0.8119
108412.2413	0.655	0.6007	0.8235	0.9134	0.3996	0.6314	0.655	0.8134
128631.2376	0.6529	0.5983	0.8292	0.9188	0.3899	0.6275	0.6529	0.8107
116287.048	0.6661	0.6113	0.8177	0.9025	0.4324	0.6473	0.6661	0.8128
138720.7006	0.6398	0.5868	0.838	0.9312	0.3516	0.6077	0.6398	0.8099
178930.3086	0.6328	0.5808	0.846	0.9393	0.3296	0.5961	0.6328	0.8098
137740.8008	0.6492	0.5957	0.8236	0.9167	0.3847	0.6233	0.6492	0.8111
153940.7757	0.6489	0.5948	0.8313	0.9223	0.3786	0.6217	0.6489	0.8106
128526.4452	0.6555	0.6009	0.8251	0.9143	0.3996	0.6318	0.6555	0.8116
167226.6152	0.6374	0.5854	0.8313	0.9282	0.3499	0.6052	0.6374	0.8071
120408.1088	0.6528	0.5984	0.8265	0.9169	0.3916	0.6278	0.6528	0.8135
155062.4457	0.6492	0.5953	0.8284	0.9201	0.3814	0.6226	0.6492	0.8112
134802.0297	0.6499	0.5958	0.8284	0.9198	0.383	0.6235	0.6499	0.8121
138947.6664	0.6544	0.5998	0.827	0.9164	0.3952	0.6299	0.6544	0.8119
167521.6396	0.6568	0.6021	0.8241	0.9129	0.4035	0.6337	0.6568	0.8093
172525.502	0.6446	0.5912	0.8306	0.9241	0.3682	0.6156	0.6446	0.8102
